	_id	category	counts	completions	average	broad_cats	predicted_cats	match?
88	figshare12141897	Virus Detection	2	3	0.6666666666666666	Diagnosis	['Mechanism', 'Transmission', 'Diagnosis', 'Forecasting']	True
89	figshare12143112	Public Health Interventions	2	3	0.6666666666666666	Prevention	['Transmission', 'Prevention', 'Forecasting', 'Information Sciences']	True
95	figshare12159924	Rapid Diagnostics	3	3	1.0	Diagnosis	['Diagnosis', 'Information Sciences']	True
96	figshare12159924	Diagnosis	2	3	0.6666666666666666	Diagnosis	['Diagnosis', 'Information Sciences']	True
98	figshare12160998	Host Factors	2	3	0.6666666666666666	Mechanism	['Mechanism']	True
100	figshare12161124	Public Health Interventions	3	3	1.0	Prevention	['Prevention']	True
102	figshare12161124	Individual Prevention	2	3	0.6666666666666666	Prevention	['Prevention']	True
104	figshare12161910	Public Health Interventions	2	3	0.6666666666666666	Prevention	['Prevention', 'Information Sciences']	True
115	figshare12189336	Pharmaceutical Treatments	2	3	0.6666666666666666	Treatment	['Mechanism', 'Treatment']	True
116	figshare12189336	Repurposing	2	3	0.6666666666666666	Treatment	['Mechanism', 'Treatment']	True
117	figshare12189336	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
118	figshare12195441	Pathology/Radiology	2	3	0.6666666666666666	Diagnosis	['Diagnosis', 'Treatment']	True
119	figshare12195441	Pharmaceutical Treatments	2	3	0.6666666666666666	Treatment	['Diagnosis', 'Treatment']	True
120	figshare12195441	Symptoms	2	3	0.6666666666666666	Diagnosis	['Diagnosis', 'Treatment']	True
121	figshare12195441	Virus Detection	2	3	0.6666666666666666	Diagnosis	['Diagnosis', 'Treatment']	True
124	figshare12195735	Symptoms	2	3	0.6666666666666666	Diagnosis	['Diagnosis']	True
129	figshare12199017	Pharmaceutical Treatments	2	3	0.6666666666666666	Treatment	['Treatment']	True
130	figshare12199017	Repurposing	2	3	0.6666666666666666	Treatment	['Treatment']	True
131	figshare12199023	Repurposing	3	3	1.0	Treatment	['Mechanism', 'Treatment']	True
132	figshare12199023	Pharmaceutical Treatments	2	3	0.6666666666666666	Treatment	['Mechanism', 'Treatment']	True
135	figshare12219572	Forecasting	2	3	0.6666666666666666	Forecasting	['Prevention', 'Forecasting']	True
136	figshare12221612	Behavioral Research	2	3	0.6666666666666666	Behavioral Research	['Prevention', 'Behavioral Research', 'Information Sciences']	True
137	figshare12226952	Behavioral Research	3	3	1.0	Behavioral Research	['Behavioral Research', 'Information Sciences']	True
140	figshare12227543	Behavioral Research	3	3	1.0	Behavioral Research	['Behavioral Research']	True
141	figshare12229922	Antibody Detection	3	3	1.0	Diagnosis	['Diagnosis']	True
142	figshare12229922	Rapid Diagnostics	2	3	0.6666666666666666	Diagnosis	['Diagnosis']	True
143	figshare12229922	Virus Detection	2	3	0.6666666666666666	Diagnosis	['Diagnosis']	True
155	figshare12249581	Individual Prevention	2	3	0.6666666666666666	Prevention	['Prevention']	True
157	figshare12250733	Public Health Interventions	3	3	1.0	Prevention	['Transmission', 'Prevention', 'Forecasting']	True
159	figshare12250733	Forecasting	2	3	0.6666666666666666	Forecasting	['Transmission', 'Prevention', 'Forecasting']	True
164	figshare12270884	Forecasting	2	3	0.6666666666666666	Forecasting	['Transmission', 'Prevention', 'Forecasting']	True
165	figshare12270884	Public Health Interventions	2	3	0.6666666666666666	Prevention	['Transmission', 'Prevention', 'Forecasting']	True
166	figshare12272015	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
167	figshare12272327	Immunological Response	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
168	figshare12272327	Vaccines	2	3	0.6666666666666666	Treatment	['Mechanism', 'Treatment']	True
169	figshare12273089	Rapid Diagnostics	3	3	1.0	Diagnosis	['Diagnosis']	True
170	figshare12273089	Virus Detection	2	3	0.6666666666666666	Diagnosis	['Diagnosis']	True
171	figshare12273188	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
173	figshare12278249	Virus Detection	2	3	0.6666666666666666	Diagnosis	['Diagnosis']	True
178	figshare12292829	Pharmaceutical Treatments	2	3	0.6666666666666666	Treatment	['Mechanism', 'Treatment']	True
179	figshare12292829	Repurposing	2	3	0.6666666666666666	Treatment	['Mechanism', 'Treatment']	True
181	figshare12298844	Behavioral Research	3	3	1.0	Behavioral Research	['Prevention', 'Behavioral Research', 'Information Sciences']	True
187	figshare12302408	Rapid Diagnostics	2	3	0.6666666666666666	Diagnosis	['Diagnosis']	True
188	figshare12302408	Virus Detection	2	3	0.6666666666666666	Diagnosis	['Diagnosis']	True
190	figshare12309251	Repurposing	3	3	1.0	Treatment	['Treatment']	True
191	figshare12309251	Pharmaceutical Treatments	2	3	0.6666666666666666	Treatment	['Treatment']	True
193	figshare12316340	Host Factors	3	3	1.0	Mechanism	['Mechanism']	True
194	figshare12316340	Immunological Response	2	3	0.6666666666666666	Mechanism	['Mechanism']	True
195	figshare12316340	Mechanism of Infection	2	3	0.6666666666666666	Mechanism	['Mechanism']	True
196	figshare12316340	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism']	True
197	figshare12320435	Medical Care	2	3	0.6666666666666666	Treatment	['Mechanism', 'Treatment']	True
198	figshare12325199	Symptoms	3	3	1.0	Diagnosis	['Diagnosis']	True
199	figshare12325202	Symptoms	3	3	1.0	Diagnosis	['Diagnosis']	True
200	figshare12327923	Host Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
201	figshare12327923	Mechanism of Infection	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
206	figshare12344135	Symptoms	2	3	0.6666666666666666	Diagnosis	['Transmission', 'Diagnosis']	True
208	figshare12355064	Pharmaceutical Treatments	2	3	0.6666666666666666	Treatment	['Treatment']	True
209	figshare12355064	Treatment	2	3	0.6666666666666666	Treatment	['Treatment']	True
210	figshare12355064	Vaccines	2	3	0.6666666666666666	Treatment	['Treatment']	True
212	figshare12355733	Pathology/Radiology	2	3	0.6666666666666666	Diagnosis	['Diagnosis', 'Treatment']	True
214	figshare12355733	Symptoms	2	3	0.6666666666666666	Diagnosis	['Diagnosis', 'Treatment']	True
215	figshare12356231	Public Health Interventions	2	3	0.6666666666666666	Prevention	['Transmission', 'Prevention', 'Forecasting', 'Environment']	True
216	figshare12357473	Prevention	2	3	0.6666666666666666	Prevention	['Transmission', 'Prevention', 'Forecasting']	True
217	figshare12357473	Public Health Interventions	2	3	0.6666666666666666	Prevention	['Transmission', 'Prevention', 'Forecasting']	True
218	figshare12357476	Forecasting	3	4	0.75	Forecasting	['Transmission', 'Prevention', 'Forecasting']	True
219	figshare12357476	Public Health Interventions	3	4	0.75	Prevention	['Transmission', 'Prevention', 'Forecasting']	True
220	figshare12361493	Behavioral Research	3	3	1.0	Behavioral Research	['Behavioral Research', 'Information Sciences']	True
221	figshare12362162	Diagnosis	2	3	0.6666666666666666	Diagnosis	['Diagnosis', 'Treatment']	True
224	figshare12362162	Virus Detection	2	3	0.6666666666666666	Diagnosis	['Diagnosis', 'Treatment']	True
225	figshare12365492	Pharmaceutical Treatments	2	3	0.6666666666666666	Treatment	['Treatment']	True
226	figshare12365492	Treatment	2	3	0.6666666666666666	Treatment	['Treatment']	True
231	figshare12365498	Treatment	2	3	0.6666666666666666	Treatment	['Treatment']	True
233	figshare12365501	Treatment	3	3	1.0	Treatment	['Treatment']	True
235	figshare12366248	Virus Factors	3	3	1.0	Mechanism	['Mechanism']	True
240	figshare12366275	Virus Factors	3	3	1.0	Mechanism	['Mechanism']	True
241	figshare12366329	Repurposing	3	3	1.0	Treatment	['Mechanism', 'Treatment']	True
242	figshare12366449	Virus Factors	3	3	1.0	Mechanism	['Mechanism']	True
248	figshare12376121	Individual Prevention	2	3	0.6666666666666666	Prevention	['Transmission', 'Prevention', 'Environment']	True
250	figshare12376121	Prevention	2	3	0.6666666666666666	Prevention	['Transmission', 'Prevention', 'Environment']	True
251	figshare12376172	Treatment	3	3	1.0	Treatment	['Treatment']	True
252	figshare12376172	Pharmaceutical Treatments	2	3	0.6666666666666666	Treatment	['Treatment']	True
254	figshare12376178	Treatment	3	3	1.0	Treatment	['Treatment']	True
255	figshare12376178	Medical Care	2	3	0.6666666666666666	Treatment	['Treatment']	True
256	figshare12376181	Treatment	3	3	1.0	Treatment	['Treatment']	True
257	figshare12376181	Biologics	2	3	0.6666666666666666	Treatment	['Treatment']	True
258	figshare12376184	Biologics	2	3	0.6666666666666666	Treatment	['Treatment']	True
259	figshare12376184	Treatment	2	3	0.6666666666666666	Treatment	['Treatment']	True
260	figshare12376232	Behavioral Research	2	3	0.6666666666666666	Behavioral Research	['Mechanism', 'Behavioral Research']	True
265	figshare12382706	Public Health Interventions	2	3	0.6666666666666666	Prevention	['Prevention', 'Forecasting']	True
266	figshare12388010	Symptoms	2	3	0.6666666666666666	Diagnosis	['Diagnosis', 'Treatment']	True
267	figshare12388868	Symptoms	3	3	1.0	Diagnosis	['Diagnosis']	True
268	figshare12388871	Symptoms	3	3	1.0	Diagnosis	['Diagnosis']	True
271	figshare12389309	Forecasting	2	3	0.6666666666666666	Forecasting	['Transmission', 'Prevention', 'Forecasting', 'Environment']	True
272	figshare12389309	Transmission	2	3	0.6666666666666666	Transmission	['Transmission', 'Prevention', 'Forecasting', 'Environment']	True
273	figshare12389312	Forecasting	2	3	0.6666666666666666	Forecasting	['Transmission', 'Prevention', 'Forecasting', 'Environment']	True
274	figshare12399236	Behavioral Research	2	3	0.6666666666666666	Behavioral Research	['Behavioral Research']	True
276	figshare12407360	Forecasting	2	3	0.6666666666666666	Forecasting	['Prevention', 'Forecasting']	True
278	figshare12424661	Public Health Interventions	2	3	0.6666666666666666	Prevention	['Prevention']	True
280	figshare12436205	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
285	figshare12445691	Host Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
286	figshare12445691	Immunological Response	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
288	figshare12445694	Host Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
289	figshare12445694	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
290	figshare12445697	Host Factors	3	4	0.75	Mechanism	['Mechanism', 'Treatment']	True
291	figshare12445700	Host Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
292	figshare12445700	Immunological Response	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
293	figshare12445700	Mechanism of Infection	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
294	figshare12445700	Treatment	2	3	0.6666666666666666	Treatment	['Mechanism', 'Treatment']	True
296	figshare12449630	Diagnosis	2	3	0.6666666666666666	Diagnosis	['Mechanism', 'Diagnosis']	True
297	figshare12449630	Virus Detection	2	3	0.6666666666666666	Diagnosis	['Mechanism', 'Diagnosis']	True
300	figshare12449810	Symptoms	3	3	1.0	Diagnosis	['Diagnosis', 'Treatment']	True
304	figshare12449813	Symptoms	3	3	1.0	Diagnosis	['Diagnosis', 'Treatment']	True
307	figshare12449816	Symptoms	3	3	1.0	Diagnosis	['Diagnosis', 'Treatment']	True
309	figshare12449819	Symptoms	3	3	1.0	Diagnosis	['Diagnosis', 'Treatment']	True
312	figshare12449846	Symptoms	3	3	1.0	Diagnosis	['Diagnosis', 'Treatment', 'Case Descriptions']	True
314	figshare4321055	Immunological Response	2	3	0.6666666666666666	Mechanism	['Mechanism']	True
315	figshare4321055	Mechanism of Infection	2	3	0.6666666666666666	Mechanism	['Mechanism']	True
316	figshare4321082	Immunological Response	2	3	0.6666666666666666	Mechanism	['Mechanism']	True
317	figshare4321151	Mechanism of Infection	2	3	0.6666666666666666	Mechanism	['Mechanism']	True
318	figshare4321151	Mechanism of Transmission	2	3	0.6666666666666666	Mechanism	['Mechanism']	True
321	figshare7937462	Virus Factors	3	3	1.0	Mechanism	['Mechanism', 'Treatment']	True
322	figshare7937462	Immunological Response	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
323	figshare7937462	Mechanism	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
324	figshare7937462	Treatment	2	3	0.6666666666666666	Treatment	['Mechanism', 'Treatment']	True
325	figshare9943775	Vaccines	3	3	1.0	Treatment	['Treatment']	True
326	pdb5R7Z	Virus Factors	4	5	0.8	Mechanism	['Mechanism', 'Treatment']	True
327	pdb5R80	Virus Factors	3	3	1.0	Mechanism	['Mechanism', 'Treatment']	True
328	pdb5R81	Biologics	2	3	0.6666666666666666	Treatment	['Mechanism', 'Treatment']	True
330	pdb5R83	Biologics	3	3	1.0	Treatment	['Mechanism', 'Treatment']	True
333	pdb5R8T	Biologics	2	3	0.6666666666666666	Treatment	['Mechanism', 'Treatment']	True
334	pdb5RE7	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
335	pdb5RE8	Mechanism	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
336	pdb5REA	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
338	pdb5REE	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
339	pdb5REG	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
340	pdb5REH	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
341	pdb5REM	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
342	pdb5REY	Biologics	2	3	0.6666666666666666	Treatment	['Mechanism', 'Treatment']	True
343	pdb5REY	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
344	pdb5RFM	Biologics	2	3	0.6666666666666666	Treatment	['Mechanism', 'Treatment']	True
346	pdb6W01	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism']	True
348	pdb6WEY	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism']	True
349	pdb6X4I	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism']	True
353	pdb6YUN	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism']	True
354	pdb6YYT	Mechanism	2	3	0.6666666666666666	Mechanism	['Mechanism']	True
356	pdb6YZ1	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism']	True
358	pdb7BQY	Biologics	2	3	0.6666666666666666	Treatment	['Mechanism', 'Treatment']	True
359	pdb7BRO	Biologics	2	3	0.6666666666666666	Treatment	['Mechanism', 'Treatment']	True
360	pdb7BRO	Mechanism	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
363	pdb7BTF	Virus Factors	3	3	1.0	Mechanism	['Mechanism', 'Case Descriptions']	True
371	pdb7BZ5	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
373	pdb7BZF	Mechanism	2	3	0.6666666666666666	Mechanism	['Mechanism']	True
374	pdb7BZF	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism']	True
375	pdb7C01	Biologics	3	3	1.0	Treatment	['Mechanism', 'Treatment']	True
376	pdb7C01	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
377	pdb7C22	Mechanism of Infection	3	3	1.0	Mechanism	['Mechanism', 'Treatment']	True
378	pdb7C22	Virus Factors	3	3	1.0	Mechanism	['Mechanism', 'Treatment']	True
379	pdb7C2K	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism']	True
380	zenodo.3722580	Virus Factors	3	3	1.0	Mechanism	['Mechanism', 'Treatment']	True
384	zenodo.3722605	Virus Factors	3	4	0.75	Mechanism	['Mechanism', 'Treatment']	True
385	zenodo.3730327	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
386	zenodo.3730472	Mechanism	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
387	zenodo.3730472	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
388	zenodo.3730483	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
389	zenodo.3730487	Biologics	2	3	0.6666666666666666	Treatment	['Mechanism', 'Treatment']	True
390	zenodo.3730496	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
391	zenodo.3730503	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
392	zenodo.3730509	Virus Factors	3	3	1.0	Mechanism	['Mechanism', 'Treatment']	True
393	zenodo.3730531	Virus Factors	3	3	1.0	Mechanism	['Mechanism', 'Treatment']	True
394	zenodo.3730555	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
395	zenodo.3730578	Virus Factors	3	3	1.0	Mechanism	['Mechanism', 'Treatment']	True
396	zenodo.3730578	Biologics	2	3	0.6666666666666666	Treatment	['Mechanism', 'Treatment']	True
398	zenodo.3730603	Virus Factors	3	3	1.0	Mechanism	['Mechanism', 'Treatment']	True
400	zenodo.3730610	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
401	zenodo.3730629	Virus Factors	3	3	1.0	Mechanism	['Mechanism', 'Treatment']	True
402	zenodo.3730635	Virus Factors	3	3	1.0	Mechanism	['Mechanism', 'Treatment']	True
403	zenodo.3730646	Virus Factors	3	3	1.0	Mechanism	['Mechanism', 'Treatment']	True
404	zenodo.3730762	Virus Factors	3	3	1.0	Mechanism	['Mechanism', 'Treatment']	True
405	zenodo.3730818	Virus Factors	3	3	1.0	Mechanism	['Mechanism', 'Treatment']	True
406	zenodo.3730917	Virus Factors	3	3	1.0	Mechanism	['Mechanism', 'Treatment']	True
407	zenodo.3730921	Virus Factors	3	3	1.0	Mechanism	['Mechanism', 'Treatment']	True
408	zenodo.3730929	Virus Factors	3	3	1.0	Mechanism	['Mechanism', 'Treatment']	True
409	zenodo.3730940	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
411	zenodo.3730947	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
412	zenodo.3730951	Virus Factors	3	3	1.0	Mechanism	['Mechanism', 'Treatment']	True
413	zenodo.3730956	Virus Factors	3	3	1.0	Mechanism	['Mechanism', 'Treatment']	True
414	zenodo.3730960	Biologics	2	3	0.6666666666666666	Treatment	['Mechanism', 'Treatment']	True
417	zenodo.3730960	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
418	zenodo.3730974	Virus Factors	3	3	1.0	Mechanism	['Mechanism', 'Treatment']	True
419	zenodo.3730982	Virus Factors	3	3	1.0	Mechanism	['Mechanism', 'Treatment']	True
420	zenodo.3730992	Virus Factors	3	3	1.0	Mechanism	['Mechanism', 'Treatment']	True
421	zenodo.3730998	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
424	zenodo.3731154	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
425	zenodo.3731178	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
426	zenodo.3731270	Virus Factors	3	3	1.0	Mechanism	['Mechanism', 'Treatment']	True
427	zenodo.3731288	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
428	zenodo.3731294	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
429	zenodo.3731318	Virus Factors	3	3	1.0	Mechanism	['Mechanism', 'Treatment']	True
430	zenodo.3731341	Virus Factors	3	3	1.0	Mechanism	['Mechanism', 'Treatment']	True
431	zenodo.3731353	Virus Factors	3	3	1.0	Mechanism	['Mechanism', 'Treatment']	True
434	zenodo.3731366	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
435	zenodo.3731369	Virus Factors	3	3	1.0	Mechanism	['Mechanism', 'Treatment']	True
436	zenodo.3731376	Virus Factors	3	3	1.0	Mechanism	['Mechanism', 'Treatment']	True
437	zenodo.3731383	Virus Factors	3	3	1.0	Mechanism	['Mechanism', 'Treatment']	True
440	zenodo.3731510	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
441	zenodo.3731514	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
442	zenodo.3731521	Virus Factors	3	3	1.0	Mechanism	['Mechanism', 'Treatment']	True
443	zenodo.3731531	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
444	zenodo.3731535	Virus Factors	3	3	1.0	Mechanism	['Mechanism', 'Treatment']	True
445	zenodo.3731539	Virus Factors	3	3	1.0	Mechanism	['Mechanism', 'Treatment']	True
446	zenodo.3731546	Virus Factors	3	3	1.0	Mechanism	['Mechanism', 'Treatment']	True
