	outbreakid	category	counts	completions	average
1495	zenodo.3730646	Virus Factors	3	3	1.0
1499	zenodo.3730762	Virus Factors	3	3	1.0
1502	zenodo.3730818	Virus Factors	3	3	1.0
1507	zenodo.3730917	Virus Factors	3	3	1.0
1510	zenodo.3730921	Virus Factors	3	3	1.0
1514	zenodo.3730929	Virus Factors	3	3	1.0
1525	zenodo.3730951	Virus Factors	3	3	1.0
1530	zenodo.3730956	Virus Factors	3	3	1.0
1542	zenodo.3730974	Virus Factors	3	3	1.0
1547	zenodo.3730982	Virus Factors	3	3	1.0
1556	zenodo.3730992	Virus Factors	3	3	1.0
1633	zenodo.3731270	Virus Factors	3	3	1.0
1636	zenodo.3731318	Virus Factors	3	3	1.0
1641	zenodo.3731341	Virus Factors	3	3	1.0
1646	zenodo.3731353	Virus Factors	3	3	1.0
1658	zenodo.3731369	Virus Factors	3	3	1.0
1663	zenodo.3731376	Virus Factors	3	3	1.0
1668	zenodo.3731383	Virus Factors	3	3	1.0
1673	zenodo.3731392	Rapid Diagnostics	4	3	1.3333333333333333
1701	zenodo.3731521	Virus Factors	3	3	1.0
1704	zenodo.3731535	Virus Factors	3	3	1.0
1709	zenodo.3731539	Virus Factors	3	3	1.0
1713	zenodo.3731546	Virus Factors	3	3	1.0
1719	zenodo.3731550	Virus Factors	3	3	1.0
1723	zenodo.3731556	Virus Factors	3	3	1.0
1747	zenodo.3746892	Virus Factors	3	3	1.0
1790	zenodo.3749747	Public Health Interventions	3	3	1.0
1806	zenodo.3751583	Virus Factors	3	3	1.0
1813	zenodo.3752540	Virus Factors	3	3	1.0
1816	zenodo.3753552	Behavioral Research	3	3	1.0
1817	zenodo.3753552	Clinical	3	3	1.0
1877	zenodo.3766084	Biologics	6	3	2.0
1960	zenodo.3799740	Epidemiology	3	3	1.0
1961	zenodo.3799740	Risk Factors	3	3	1.0
1965	zenodo.3803620	Biologics	6	3	2.0
1971	zenodo.3807765	Biologics	6	3	2.0
1982	zenodo.3816667	Behavioral Research	3	3	1.0
2005	zenodo.3820109	Mechanism	3	3	1.0
2013	zenodo.3820143	Virus Factors	3	3	1.0
2018	zenodo.3820147	Virus Factors	3	3	1.0
2025	zenodo.3820189	Virus Factors	3	3	1.0
2040	zenodo.3821525	Testing Prevalence	3	3	1.0
2047	zenodo.3822299	Molecular epidemiology	5	4	1.25
2108	zenodo.3840625	Molecular epidemiology	5	3	1.6666666666666667
2112	zenodo.3841842	Epidemiology	3	3	1.0
2132	zenodo.3860013	Medical Care	3	3	1.0
2135	zenodo.3860798	Virus Factors	3	3	1.0
2140	zenodo.3862076	Treatment	3	3	1.0
