_id	category	counts	completions	average	broad_cats	predicted_cats	Curator_or_Algorithm	name	description
figshare12110118	Behavioral Research	2	3	0.666666667	Behavioral Research	['Prevention']	"Curator, Economics"	Supply and demand shocks in the COVID-19 pandemic: An industry and occupation perspective	"Supply and demand shocks in the COVID-19 pandemic: An industry and occupation perspective 
R. Maria del Rio-Chanona, Penny Mealy, Anton Picheler, Francois Lafond, J. Doyne Farmer 
contact: 
 Results  
The supply, demand, and total shocks at the industry and occupation level are in files: 

industry_variables_and_shock.csv 
occupation_variables_and_shock.csv 

To reproduce our results we also include 
The employment data between industries and occupations 
industry_occupation_employment.csv 
The classification of work activities 
iwa_remotelabor_labels.csv 
The essential score of industries at the NAICS 4d level 
essential_score_industries_naics_4d_rev.csv 
  "
figshare12114945	Classical epidemiology	3	3	1	Epidemiology	"['Forecasting', 'Information Sciences']"	Both	Evolution of COVID-19 by country	"This dataset is a three dimensional dataset in wich we analyze the evolution of some data related with COVID-19 along the time. 

We analyse how a type of data behave along the time in the different countries. 

In each csv, we have kind of varibale (Cases, recovered, deaths) by country and date (from 03/30 to 04/10). Howevwe, t<strong>he data its up to date in <a href=""https://github.com/AdrianArnaiz/scrap_uoc"">https://github.com/AdrianArnaiz/scrap_uoc</a> (updated automatically every day).</strong> 

So we have 5 time series by country: one for each kind of data. 

The csv contais the information related with a kind of data, and are described by the other two dimensions: country and date.  

  

We obtained this dataset scrapping <a href=""http://worldometers.info/coronavirus"">Worldometers</a>. "
figshare12114996	Public Health Interventions	2	3	0.666666667	Prevention	['Information Sciences']	Algorithm	BIP4COVID19: Impact metrics and indicators for coronavirus related publications	"This dataset contains impact metrics and indicators for a set of publications that are related to the <a href=""https://en.wikipedia.org/wiki/Coronavirus_disease_2019"">COVID-19 infectious disease</a> and the coronavirus that causes it. It is based on: 

<ol>
	<li>Τhe <a href=""https://pages.semanticscholar.org/coronavirus-research"">CORD-19 dataset</a> released by the team of <a href=""https://www.semanticscholar.org/"">Semantic Scholar</a><sup>1</sup> and</li>
	<li>Τhe curated data provided by the <a href=""https://www.ncbi.nlm.nih.gov/research/coronavirus/"">LitCovid hub</a><sup>2</sup>.</li>
</ol>

These data have been cleaned and integrated with data from <a href=""https://github.com/echen102/COVID-19-TweetIDs"">COVID-19-TweetIDs</a> and from other sources (e.g., PMC). The result was dataset of 38,967 unique articles along with relevant metadata (e.g., the underlying citation network). We utilized this dataset to produce, for each article, the values of the following impact measures: 

<ul>
	<li><em><strong>Influence:</strong></em> Citation-based measure reflecting the total impact of an article. This is based on the PageRank<sup>3</sup> network analysis method. In the context of citation networks, it estimates the importance of each article based on its centrality in the whole network. This measure was calculated using the PaperRanking (<a href=""https://github.com/diwis/PaperRanking"">https://github.com/diwis/PaperRanking</a>) library<sup>4</sup>.</li>
	<li><em><strong>Popularity:</strong></em> Citation-based measure reflecting the current impact of an article. This is based on the RAM<sup>5</sup> citation network analysis method. Methods like PageRank are biased against recently published articles (new articles need time to receive their first citations). RAM alleviates this problem using an approach known as ""time-awareness"". This is why it is more suitable to capture the current ""hype"" of an article. This measure was calculated using the PaperRanking (<a href=""https://github.com/diwis/PaperRanking"">https://github.com/diwis/PaperRanking</a>) library<sup>4</sup>.</li>
	<li><em><strong>Social Media Attention: </strong></em>The number of tweets related to this article. Relevant data were collected from the <a href=""https://github.com/echen102/COVID-19-TweetIDs"">COVID-19-TweetIDs</a> dataset. In this version, only tweets between Mar. 1st and Mar. 12th have been considered from the previous dataset. The rest will be included during next updates. </li>
</ul>

We provide three CSV files, all containing the same information, however each having its entries ordered by a different impact measure. All CSV files are tab separated and have the same columns (PubMed_id, PMC_id, DOI, popularity_score, influence_score, tweets count). 

The work is based on the following publications: 

<blockquote>
<ol>
	<li>COVID-19 Open Research Dataset (CORD-19). 2020. Version 2020-04-03 Retrieved from https://pages.semanticscholar.org/coronavirus-research. Accessed 2020-04-06. doi:10.5281/zenodo.3715506</li>
	<li>Chen Q, Allot A, & Lu Z. (2020) Keep up with the latest coronavirus research, Nature 579:193 (version 2020-04-06)</li>
	<li>R. Motwani L. Page, S. Brin and T. Winograd. 1999. The PageRank Citation Ranking: Bringing Order to the Web. Technical Report. Stanford InfoLab.</li>
	<li>I. Kanellos, T. Vergoulis, D. Sacharidis, T. Dalamagas, Y. Vassiliou: Impact-Based Ranking of Scientific Publications: A Survey and Experimental Evaluation. TKDE 2019</li>
	<li>Rumi Ghosh, Tsung-Ting Kuo, Chun-Nan Hsu, Shou-De Lin, and Kristina Lerman. 2011. Time-Aware Ranking in Dynamic Citation Networks. In Data Mining Workshops (ICDMW). 373–380</li>
</ol>
</blockquote>

A Web user interface that uses these data to facilitate the COVID-19 literature exploration, can be found <a href=""https://bip.covid19.athenarc.gr"">here</a>. 

<em><strong>Terms of use:</strong></em> These data are provided ""as is"", without any warranties of any kind. The data are provided under the Creative Commons Attribution 4.0 International license. "
figshare12122007	Risk Factors	2	3	0.666666667	Clinical	"['Treatment', 'Behavioral Research']"	Algorithm	"Supplementary Material for: A Rational Use of Clozapine Based on Adverse Drug Reactions, Pharmacokinetics, and Clinical Pharmacopsychology"	"Using Richardson and Davidson’s model and the sciences of pharmacokinetics and clinical pharmacopsychology, this article reviewed the: (1) poor life expectancy associated with treatment-resistant schizophrenia (TRS), which may be improved in patients who adhere to clozapine; (2) findings that clozapine is the best treatment for TRS (according to efficacy, effectiveness and well-being); and (3) potential for clozapine to cause vulnerabilities, including potentially lethal adverse drug reactions such as agranulocytosis, pneumonia, and myocarditis. Rational use requires: (1) modification of the clozapine package insert worldwide to include lower doses for Asians and to avoid the lethality associated with pneumonia, (2) the use of clozapine levels for personalizing dosing, and (3) the use of slow and personalized titration. This may make clozapine as safe as possible and contribute to increased life expectancy and well-being. In the absence of data on COVID-19 in clozapine patients, clozapine possibly impairs immunological mechanisms and may increase pneumonia risk in infected patients. Psychiatrists should call their clozapine patients and families and explain to them that if the patient develops fever or flu-like symptoms, the psychiatrist should be called and should consider halving the clozapine dose. If the patient is hospitalized with pneumonia, the treating physician needs to assess for symptoms of clozapine intoxication since halving the dose may not be enough for all patients; consider decreasing it to one-third or even stopping it. Once the signs of inflammation and fever have disappeared, the clozapine dose can be slowly increased to the prior dosage level."
figshare12123681	Classical epidemiology	2	3	0.666666667	Epidemiology	"['Transmission', 'Prevention', 'Forecasting', 'Environment', 'Information Sciences']"	Both	Data and code on the effects of quarantine and social distancing on the outbreak of novel coronavirus in developing or under poverty level countries.	"This fileset contains two datasets <b>Book1_regression.xlsx</b> and <b>Book2.xlsx</b>, in .xlsx file format, and
the code file, <b>Corona_research.mw</b>,
in .mw file format, used to generate the datasets.    The datasets and code support the findings
in the following preprint, which is under consideration at BMC Infectious Diseases of Poverty: Atiqur Chowdhury,
K M Ariful Kabir, Jun Tanimoto. How quarantine and social distancing policy can
suppress the outbreak of novel coronavirus in developing or under poverty level
countries: a mathematical and statistical analysis. <i>Research Square </i><a href=""https://doi.org/10.21203/rs.3.rs-20294/v1"">https://doi.org/10.21203/rs.3.rs-20294/v1</a>
(2020).    

Dataset <b>Book1_regression.xlsx</b>: The first column of this spreadsheet consists of the actual
data for the total number of COVID-19 infected people in Bangladesh until March 28<sup>th</sup>,
2020. Data reported in the first
column were collected from <a href=""http://www.iedcr.gov.bd/"">www.iedcr.gov.bd</a>
from March 7<sup>th</sup>, 2020 to March 28<sup>th</sup>, 2020. 

The second column of
this spreadsheet reports simulated data on the number of COVID-19 infected
people, using a novel theoretical model named “Social distancing
SEIQR model”. The code used to generate these data is
contained in the code file <b>Corona_research.mw.</b> 

<b> </b> 

Dataset <b>Book2.xlsx: </b>This dataset contains data
derived using the social distancing SEIQR mathematical model. Data are reported
for COVID-19 cases under the following conditions: no lockdown, one week
lockdown, two weeks lockdown and three weeks lockdown. Additionally, data are
reported for COVID-19 cases under the following conditions: 50%, 40%, 30%, 20%
and 10% of people respectively, are following the social distancing rules. The
last part of the spreadsheet contains data for COVID-19 cases under the
following conditions: 10%, 20%, 30%, 40% 50% and 60% of people respectively,
are in home quarantine. The code used to generate these data is contained in
the code file Corona_research.mw. 

  

<b>Study aims and methodology: </b>The novel coronavirus, named as SARS-CoV-2, is a transmissible viral
disease that has rapidly spread around the world and is currently a major threat for
developing and under poverty level countries according to World Bank's and WHO's
prediction. At the moment, there is no vaccine or effective treatment to
prevent the spread of the virus. However, the policies “self-isolation”,
“quarantine”, “lock-down” and “social distancing”, that have been introduced in
many countries around the world, aim to control the severity of the outbreak. This
paper introduces a novel theoretical model named Social distancing SEIQR
model, to control the spread of infection by combining both quarantine and
social distancing explicitly based on the real cases observed, in countries where
medical equipment and other resources are limited. 

  

The SEIQR
social distancing model is based on six assumptions or facts. The basic
reproduction number R0, was used to assess the transmissibility of COVID-19.
For more details on the methodology and statistical analysis, please read the
related article. "
figshare12128214	Behavioral Research	2	3	0.666666667	Behavioral Research	['Prevention']	"Curator, Economics"	Supply and demand shocks in the COVID-19 pandemic: An industry and occupation perspective	"Supply and demand shocks in the COVID-19 pandemic: An industry and occupation perspective 
R. Maria del Rio-Chanona, Penny Mealy, Anton Picheler, Francois Lafond, J. Doyne Farmer 
contact: 
 Results  
The supply, demand, and total shocks at the industry and occupation level are in files: 

industry_variables_and_shock.csv 
occupation_variables_and_shock.csv 

To reproduce our results we also include 
The employment data between industries and occupations 
industry_occupation_employment.csv 
The classification of work activities 
iwa_remotelabor_labels.csv 
The essential score of industries at the NAICS 4d level 
essential_score_industries_naics_4d_rev.csv 
  

Update. 

We have expanded our sample form 660 to 740 occupations "
figshare12129507	Clinical	2	3	0.666666667	Clinical	['Information Sciences']	Curator	Case report data.rar	"nuscript for submission in the journal""BMC Infectious disease""  and would like guidance on data policies and making data available.The manuscript number is""INFD-D-20-00888R1""The title is""Patient with COVID-19 who has no specific onset symptoms and progresses rapidly to death: a case report"".Therefore, I uploaded the relevant data of the research on this excellent shared platform for peer review and reader reading. Considering the global COVID-19 crisis, it is necessary to share relevant research results data to maximize to benefit the global health <table></table>"
figshare12129507	Symptoms	2	3	0.666666667	Diagnosis	['Information Sciences']	Neither-- Case Report	Case report data.rar	"nuscript for submission in the journal""BMC Infectious disease""  and would like guidance on data policies and making data available.The manuscript number is""INFD-D-20-00888R1""The title is""Patient with COVID-19 who has no specific onset symptoms and progresses rapidly to death: a case report"".Therefore, I uploaded the relevant data of the research on this excellent shared platform for peer review and reader reading. Considering the global COVID-19 crisis, it is necessary to share relevant research results data to maximize to benefit the global health <table></table>"
figshare12130980	Behavioral Research	2	3	0.666666667	Behavioral Research	"['Prevention', 'Environment', 'Information Sciences']"	Curator	MOOD Maps of Google community mobility change during the COVID-19 outbreak	"The MOOD project (MOnitoring Outbreak events for Disease surveillance in a data science context. H2020) has geo-referenced the data Google has published as a series of PDF files presenting reports on national and subnational human mobility levels relative to a baseline data of late January 2020. The details and the PDF files can be found at <a href=""https://www.google.com/covid19/mobility/"" target=""_blank"">https://www.google.com/covid19/mobility/</a>.<u></u><u></u>   More detail on these files can be found at https://www.moodspatialdata.com/humanmobilityforcovid19    The first set of data were released on April 2 2020 and have been revised weekly since then.  The maps now utilise the CSV data released by Google.  Please note that the maps figures use a mean of the previous three days, while the Google PDFs use a single days data so there will be differences between values in our maps when compare to the Google PDFs.<u></u>   The authors have extracted the majority of these data into a series of excel spreadsheets. Each worksheet provides the data for % change in numbers of records at various types of location categories illustrated by: retail and recreation, grocery and pharmacy, parks and beaches, transit stations, workplaces and residential (columns f to K).  A second set of columns calculates the difference of each value from the mean values for each category (columns L to P) Columns A to E contain geographical details. Column Q contains the names used to link to a mapping file.<u></u><u></u> There are separate worksheets for the date of the data from each dated release (e.g. 2903, 0504 etc.) and separate worksheets calculating the changes between specific dates.   A second spreadsheet has been added calculating the 3 day moving mean of each day from the 15th of February.  Each day is referenced by the Gregorian calendar day count. So day 48 = Feb 17th.   The maps (for EU & Global) display these data.  We provide  600 dpi jpegs of the Global (“WD”) and European (“EU”) mapped values at the latest date available,  for each of the mobility categories: retail and recreation (“retrec”) ,  grocery and pharmacy (“grocphar”) , parks (“parks”) , transit stations (“transit”),  residential (“resid”) and workplaces (“work”).  We also provide maps of the changes from the previous week (“ch”).<u></u><u></u>   All data extracting and subsequent processing have been carried out by ERGO (Environmental Research Group Oxford, c/o Dept Zoology, University of Oxford) on behalf of the MOOD H2020 project.  Data will be periodically updated.  Additional maps can be obtained on request to the authors. "
figshare12143139	Classical epidemiology	3	3	1	Epidemiology	['Prevention']	Curator	Number of cases of coronavirus disease (COVID-19) in Ireland	"Datasets in this publication report the number of diagnoses with coronavirus disease (COVID-19) as reported by the Department of Health in Ireland. This includes new cases diagnosed per day and cumulative cases, hospitalisations, ICU admissions, deaths, number of healthcare workers, number of clusters, gender of cases, age groups of cases, mode of transmission, age groups of those hospitalised, and cases per county. To aid standardisation of age groups and cases per county, the population estimates by age group for 2019 and the actual county population in the 2016 Census from Ireland's Central Statistics Office are also included as separate datasets, to allow expression of cases per million population. 

These are  

<ol>
	<li><em>YYYYMMDD_covid_ie_cases_analysis.csv</em>, where data from Ireland's Health Protection Surveillance Centre is included up to midnight on the date YYYYMMDD. </li>
	<li><em>age_population_cso_2019.csv</em></li>
	<li><em>counties_population_cso_2016.csv</em></li>
</ol>

Older datasets are also included as follows. 

For the files <em>YYYYMMDD_covid_ie_age_groups.csv</em>, variable descriptions are as follows: 

<ul>
	<li>age_group: Age groups, in years</li>
	<li>cases: Total cases of COVID-19 diagnosed in Ireland by age group, as per the Department of Health </li>
	<li>pop_estimate: National population estimates by age group for 2019  in Ireland, as per the Central Statistics Office (Table 7 <a href=""https://www.cso.ie/en/releasesandpublications/er/pme/populationandmigrationestimatesapril2019/"">https://www.cso.ie/en/releasesandpublications/er/pme/populationandmigrationestimatesapril2019/</a>), expressed in thousands.</li>
	<li>cases_per_million: Cases of COVID-19 diagnosed in Ireland by age group, expressed per 1 million individuals</li>
</ul>

For the files <em>YYYYMMDD_covid_ie_daily_cases</em>, variable descriptions are as follows: 

<ul>
	<li>date: Date, in DD-MM-YYYY format</li>
	<li>daily_cases: New cases of COVID-19 diagnosed per day in Ireland, as per the Department of Health (<a href=""https://www.gov.ie/en/news/7e0924-latest-updates-on-covid-19-coronavirus/"">https://www.gov.ie/en/news/7e0924-latest-updates-on-covid-19-coronavirus/</a>)</li>
	<li>cumulative_cases: Cumulative number of COVID-19 cases in Ireland</li>
	<li>percent_daily_increase: New cases of COVID-19 diagnosed per day in Ireland as a percentage of cumulative number of cases up to that date.</li>
</ul>"
figshare12148518	Behavioral Research	2	3	0.666666667	Behavioral Research	['Prevention']	Curator	Table 1. Global burden of COVID-19 pandemic on healthcare workers	The sources of table 1. 
figshare12152967	Diagnosis	3	3	1	Diagnosis	['Information Sciences']	Curator	Diagnosis Data for International Electronic Health Record-Derived COVID-19 Clinical Course Profile: The 4CE Consortium	"Diagnosis data collected for the 4CE manuscript ""International Electronic Health Record-Derived COVID-19 Clinical Course Profile: The 4CE Consortium"" (Preprint: https://doi.org/10.1101/2020.04.13.20059691) and the 4CE website about the same manuscript (https://covidclinical.net/publications/paper-01.html).<div> </div><div>A description of how the data was generated can be found in the manuscript.</div>"
figshare12152973	Classical epidemiology	2	3	0.666666667	Epidemiology	['Information Sciences']	Both	Demographics Data for International Electronic Health Record-Derived COVID-19 Clinical Course Profile: The 4CE Consortium	"Data for all demographics figures in the 4CE manuscript ""International Electronic Health Record-Derived COVID-19 Clinical Course Profile: The 4CE Consortium"" (Preprint: https://doi.org/10.1101/2020.04.13.20059691) and the 4CE website about the same manuscript (https://covidclinical.net/publications/paper-01.html).<div> </div><div>A description of how the data was generated can be found in the manuscript.</div>"
figshare12152976	Classical epidemiology	3	3	1	Epidemiology	['Information Sciences']	Both	Daily Count Data for International Electronic Health Record-Derived COVID-19 Clinical Course Profile: The 4CE Consortium	"Data for all daily count figures in the 4CE manuscript ""International Electronic Health Record-Derived COVID-19 Clinical Course Profile: The 4CE Consortium"" (Preprint: https://doi.org/10.1101/2020.04.13.20059691) and the 4CE website about the same manuscript (https://covidclinical.net/publications/paper-01.html).<div> </div><div>A description of how the data was generated can be found in the manuscript.</div>"
figshare12160998	Diagnosis	2	3	0.666666667	Diagnosis	['Mechanism']	Algorithm	SARS-CoV-2 vs. Homo sapiens BLASTP protein sequence analysis results	SARS-CoV-2 vs. Homo sapiens BLASTP protein sequence analysis results 
figshare12160998	Virus Detection	2	3	0.666666667	Diagnosis	['Mechanism']	Algorithm	SARS-CoV-2 vs. Homo sapiens BLASTP protein sequence analysis results	SARS-CoV-2 vs. Homo sapiens BLASTP protein sequence analysis results 
figshare12161124	Forecasting	2	3	0.666666667	Forecasting	['Prevention']	Both	Modeling the effect of mitigation during the Covid-19 pandemic	"This file contains articles of the collection ""COVID-19 SARS COV-2 prepreints from medRxiv"" related to the evaluation of the effect of mitigation (from social distanciation to complete lockdown) using modeling techniques (SEIR, etc). "
figshare12161910	Behavioral Research	2	3	0.666666667	Behavioral Research	"['Prevention', 'Information Sciences']"	Both	Dataset.xlsx	"This data-set consists raw data for a study on knowledge, attitude and practices of healthcare workers in Makerere University Teaching Hospitals towards Coronavirus Disease (COVID-19)."
figshare12163332	Risk Factors	3	3	1	Clinical	"['Diagnosis', 'Treatment']"	Both	sj-zip-1-wso-10.1177_1747493020921664 - Supplemental material for Cerebrovascular disease is associated with an increased disease severity in patients with Coronavirus Disease 2019 (COVID-19): A pooled analysis of published literature	"Supplemental material, sj-zip-1-wso-10.1177_1747493020921664 for Cerebrovascular disease is associated with an increased disease severity in patients with Coronavirus Disease 2019 (COVID-19): A pooled analysis of published literature by     Gaurav Aggarwal Giuseppe Lippi and Brandon Michael Henry in International Journal of Stroke "
